userName,score,at,content
AXRAI,1,2025-12-01 04:46:32,"bikin npwp online di tolak terus padahal dah di isi sesuai ktp,ditolak alamat detail .negara bikin web g bisa yang beres apa.mana otp sms pakai pulsa lagi"
Rosa,1,2025-11-29 14:47:20,ga bisa login. setiap selesai isi kode 2fa langsung err login lg
Pandu Krisnatama,1,2025-11-25 20:16:07,aplikasi sampah di negara sampah
Baik Livius,1,2025-11-25 16:41:56,"browser masuk,pakai aplikasi ini salah,useless"
Muhammad Zidane Krismantoro,5,2025-11-21 13:29:21,good
Syahrial Haris Habibie,1,2025-11-21 03:15:59,Useless
Meina Putriningtyas,2,2025-11-20 00:09:40,Ini ga ada menu buat sign up ya?
Syaif Al Muhandis,1,2025-11-18 13:03:16,"gak bisa login, error terus, gmn mau lapor pajak?"
Novia Limanto,1,2025-11-07 07:42:49,aplikasi sampah
Herr von Galung,1,2025-11-01 04:26:57,"can't login, session always expires immediately right after OTP"
EG SPORT NEWS IDN,2,2025-10-30 02:34:32,can't login.. setelah login ada indikasi sesi berakhir...terus begitu
Satria Ego Vania,1,2025-10-25 11:56:40,mau cek npwp susahnyo
Rimba Febriyan Working,1,2025-10-23 08:22:14,"be aware scammer, if u installed this apps u cant delete it."
Hendrik Louis Mahdi,1,2025-10-21 04:38:13,tolol
T. Nu.,1,2025-10-20 09:14:26,Selalu gagal login setelah entry kode 2fa dari email
Hanna Choi,1,2025-10-17 11:01:48,"ga guna, sampah"
PUTROSM DARSONO,1,2025-10-15 08:19:27,"bad App, disappointing!"
Mayang Kumala,1,2025-10-14 05:07:15,BAPUK ANJIRRR. Makanya klo buat website jangan kebanyakan di korupsi
Gogo Diego Silalahi,1,2025-09-29 11:10:20,aplikasi kelewatan tolol ya ampun
Shiroe Yuki (general),1,2025-09-28 05:00:57,"minta otp sehari setelah baru dikirim, dipalak aja dipersulit, pejabat makanin uang proyek haram"
Ambar Kusumasari,1,2025-09-25 08:12:28,"Aplikasi di smartphone itu sejatinya memudahkan user, kek mana ini mau login pun tak bisa, kirim kode verifikasi ke email tapi ga masuk, bolak balik refresh & cek spam tak ada, diulang² pun masih sama. Live chat tdk membantu, BOT smua. What should we do then ??"
bagus pamung,1,2025-09-23 12:11:53,"aplikasi CACAT TOTAL, panggunaan anggaran pajak rakyat untuk produk CACAT... para pegawai PAJAK BAJINGAN pantas masuk neraka"
VORWANTO RIZKI Chandra,1,2025-09-22 08:21:20,"kode verifikasi kirim sekarang besok baru masuk, tolong benahi servernya bosku"
athian s,2,2025-09-22 06:48:36,masrkt mau lapor pajak tapi sulit bner ... nugu lama dpt perivikasi lewat email hadeh ... ga aneh kalo plat merh bkn ginian cma formalitas doang
Pralana Anggi Nababan,1,2025-09-13 10:18:49,RIBET DAN SUSAH. ORANG IT PUN BINGUNG SAMA INI PAJAK
Jo Vianto,1,2025-09-13 07:41:48,app apaan ini login aja gabisa.
stefanus andreas,1,2025-09-12 09:32:42,"mau buat npwp online untuk kontraktor yg awam sama gadget , ssh bwner , mendingan pada lu balikin dulu buat npwp online sebelumnya , apaan lagi ini core tax , yang dulu udah bner ngqpain lu rubah rubah , bikin ribet mau bayar pajak aja set""n"
Bennett,1,2025-09-10 02:27:28,SEKOLA
Iwan Iswanto,1,2025-09-08 16:07:00,"Aplikasi taikkk, ga menyelesaikan masalah. Mau req efin, npwp 16 digit ehh input nya max 15 digit. Kan tololll"
MekzXD,1,2025-08-31 04:27:54,"terimakasih berkat aplikasi ini hidup saya yang susah tambah susah,benar benar suatu prestasi perpajakan indonesia"
Aang Senopati,1,2025-08-26 22:25:30,"gk guna,percuma ada buat online kalo ujung²nya ke kantor. susah kalo mental pungli mah"
Narumi Unaa,1,2025-08-12 08:41:36,"Aplikasi nya tidak berguna. Tidak bisa login sama sekali. Padahal di website bisa login, tapi di aplikasi tidak bisa login, katanya error 1516 or something. Fix it la."
Kiera,1,2025-08-11 14:26:07,Why the heck your app keeps on crashing?! Fix your own bug!!!
Boyz Ismail,1,2025-08-11 04:37:00,Gak ada menu untuk daftar pengguna baru. Yang ada hanya menu untuk login. Gimana mau login kalo belum daftar. 👎👎👎👎👎
Hendy Gunawan Prasetyo,1,2025-08-10 03:50:47,sumpah menyusahkan nian
reka wibawa,1,2025-08-09 01:39:35,"tidak bisa login walau sudah memasukkan kode verifikasi berulang, sepertinya aplikasi ini perlu update"
Arsyadul Ibaad,1,2025-08-01 11:44:27,"ga ada opsi buat ganti sandi/lupa sandi, biasalah aplikasi pemerintah maksa"
Fayshol Muh,1,2025-07-23 00:51:58,"pertama login udah gak bisa!, ni sistemnya gimana kok login aja gak bisa... aneh bet dah ni aplikasi"
Just Nothing,1,2025-07-10 02:49:17,aplikasi peko
I Ron man Kwd End Usdt,5,2025-06-29 12:28:51,pas banget
Triadi Septian,1,2025-06-13 15:18:44,"gabisa login, error terus"
Albert Enstein,1,2025-06-13 12:16:47,"anggaran mahal"" cmn buat sampah"
DEDE DERRYANTO,5,2025-06-10 16:20:15,Alhamdulillah
Adi Saputro,1,2025-06-10 07:36:42,"Berapa kali ngisi form EFIN sampe ada info suruh cek email, nyatanya ga ada email EFIN yang masuk sampai berkali2 dicoba"
Irfan Saifullah,1,2025-06-05 05:01:44,gabisa login pake nik. pdhal skrng no npwp itu nik
Mega,1,2025-05-29 01:16:46,"I just clicked install button and my phone suddenly restarted by itself. Then after it's finished, I left my phone just for few minutes, I checked it just to see that my phone's restarted again. Never happen like this before. Better you fix the problem first"
insan nugroho,1,2025-05-27 21:57:29,"Min loginny error trs....gk bisa masuk...request verifikasi, tapi setelah dimasukkan kode verifikasinya muncul notif sesi anda telah berakhir mulu, pdhal hampir tdk ada jeda masukkan kode verifikasi. Tolong diperbaiki jgn smpai menyulitkan wajib pajak. Wajib pajak sdh berniat baik melaksanakan kewajibanny jangan dipersulit systemnya. Jangan sampai ada anggapan badan milik pemerintah pelayanannya slalu gk bermutu & dibawah swasta krn untung/rugi tetap aja gajian. Tks"
Jupleee,1,2025-05-24 15:08:52,too many bug
Anne Kerr,1,2025-05-23 14:44:41,aplikasi ini digunakan untuk oknum dengan alasan sinkronisasi yang berujung dengan permintaan biaya transfer 10ribu ongkos materai yg berujung peretasan aplikasi wonder BNI yg menyebabkan terkurasnya dana di rekening bank. apakah ini aplikasi resmi?
Hendra Property,1,2025-05-09 00:10:09,aplikasi busuk
A Dreamer,5,2025-05-07 05:36:55,Integrity is number one.
Silvi Sabrina,1,2025-05-02 06:10:23,"Barusan update tapi berulang kali ngga bisa login. Muncul keterangan error, sesi berakhir, login ulang. Sudah berulang kali masih ngga bisa juga."
Abdulistic,1,2025-04-30 17:25:35,ga guna
KM Noel,1,2025-04-29 22:50:14,"HAHAHAH Jelek banget njir, berapa dananya"
REL,1,2025-04-28 13:56:29,terimakasih
naura nadine,1,2025-04-28 13:17:33,buruk
Errik Widyandoko,1,2025-04-24 15:12:45,Login error terus hadeh
Darell Tj,1,2025-04-23 03:05:45,"ngabisin anggaran aja, mau verifikasi lewat no HP tidak bs. lewat web jg tidak terima SMSnya."
Xiao,1,2025-04-22 12:27:11,abis update malah gabisa log in
Sriwijaya Ang,1,2025-04-21 11:23:24,"Sudah daftar pengguna baru. sampai ke tahap kode verifikasi. Sudah cek di email, spam dll tapi gada satupun kode masuk. Klik kirim ulang kode berkali² juga tetap aja gada email atau spam masuk. Hadeh, gimana rakyat mau taat bayar pajak, kalo aplikasinya kayak gini."
Aziz le Feuvre,1,2025-04-16 07:51:54,aplikasi kucluk
Winda Nurmalita,1,2025-04-16 06:15:55,"aplikasi tolol, ga bisa forgot password buat ganti password. mau lapor pajak butuh efin, harus dateng ke kantor terdekat. ribet. kenapa ribet bgt lu pajak. benerin dulu sistemnya kalo mau masyarakat tertib lapor pajak."
Kun Alafa,1,2025-04-12 22:18:53,susahnya masuk aja ribet
Ridwan Gunawan,1,2025-04-11 05:07:39,"lupa eFin, dwld app ini, isi isi data, foto selfie, daaannn...spt biasa hasilnya error (terdapat kesalahan pd sistem kami blablabla)... ampun deh, knp sih semua hal yg mau di-online-kan di konoha ini selalu berujung sia2?!"
Lilly Kelly,1,2025-04-11 03:30:18,"parah sih, mo sign up ga bisa, cum suru login, ga ada pilihan sign up, koq pemerintah pny app, tapi kaya app asal...😢😢 tlg dong dibenahi, kita bayar pajak buanyaakkk tiap bulan buat apa?? kalau app nya yg simpel aja ga bisa?"
Fajar Prasetya,1,2025-04-10 14:14:30,Lapor pajak untuk pegawai yang gajinya otomatis dipotong oleh perusahaan tempat bekerja adalah aktivitas paling useless yang pernah ada
VANZ24,1,2025-04-10 08:58:21,"Tolong dong aplikasinya di update. saya mau cek EFIN tapi di aplikasinya jumlah digit ga sesuai dengan data terbaru, jadi tidak bisa diproses. Segera diperbaharui juga aplikasinya"
Andre Marbun,1,2025-04-08 09:50:46,"itu apaan coba, pada error pas lihat versi web di mobile, font size nya juga bikin mata sakit. via web juga, mau cek npwp malah hanya ada field captcha, dan npwp yg mau di cek jg ga ada fieldnya. sama sekali ga membantu."
Akun Penjelajah,1,2025-04-07 04:57:08,Dana gede tapi bikin aplikasi yg optimal aja susah. tiap login dari hp gagal terus
Miftahul Rezki,1,2025-04-07 03:32:51,tidak bisa digunakan
L Lawliet,1,2025-04-01 05:27:36,"aplikasiya jelek, tidak beefungsi"
Christina Prameswari,1,2025-03-30 13:26:19,gak bisa login
